company,Date,ROE(%),EPS
1215,2008,8.34,0.91
1215,2007,11.1,1.28
1215,2006,6.61,0.68
1215,2005,2.24,0.17
1215,2004,-3.47,-0.38
1215,2003,0.12,0.01
1215,2002,-4.91,-0.54
1215,2001,3.69,0.53
1215,2000,3.95,0.45
1216,2016,15.35,2.56
1216,2015,14.1,2.48
1216,2014,12.62,2.04
1216,2013,15.75,2.48
1216,2012,14.79,2.55
1216,2011,12.72,2.08
1216,2010,15.59,2.55
1216,2009,12.27,2.02
1216,2008,5.98,0.96
1216,2007,17.4,3.1
1216,2006,8.23,1.08
1216,2005,6.53,0.62
1216,2004,5.22,0.77
1216,2003,5.23,0.86
1216,2002,2.12,0.45
1216,2001,6.86,0.9
1216,2000,8.12,1.07
1217,2016,1.9,0.21
1217,2015,0.61,0.1
1217,2014,-6.2,-0.73
1217,2013,-0.94,-0.11
1217,2012,0.98,0.1
1217,2011,0.34,0.02
1217,2010,4.3,0.4
1217,2009,3.35,0.36
1217,2008,2.04,0.25
1217,2007,-6.48,-0.63
1217,2006,-6.11,-0.69
1217,2005,3.93,0.43
1217,2004,1.46,0.15
1217,2003,4.26,0.46
1217,2002,4.53,0.43
1217,2001,-5.59,-0.57
1217,2000,-6.45,-0.67
1218,2016,3.53,0.36
1218,2015,3.66,0.36
1218,2014,2.1,0.21
1218,2013,-3.55,-0.35
1218,2012,-5.63,-0.62
1218,2011,5.21,0.61
1218,2010,6.41,0.75
1218,2009,6.62,0.76
1218,2008,-1.21,-0.28
1218,2007,0.18,0.17
1218,2006,-6.75,-0.27
1218,2005,-1.4,-0.17
1218,2004,1.68,0.11
1218,2003,2.7,0.22
1218,2002,-3.43,-0.4
1218,2001,-3.6,-0.36
1218,2000,1.1,0.11
1219,2016,1.48,0.49
1219,2015,1.59,0.31
1219,2014,3.29,0.43
1219,2013,0.64,0.09
1219,2012,-1.63,-0.19
1219,2011,14.32,1.89
1219,2010,6.1,0.8
1219,2009,7.08,0.91
1219,2008,-1.34,-0.13
1219,2007,4.62,0.63
1219,2006,2.49,0.36
1219,2005,1.35,0.2
1219,2004,-1.01,-0.12
1219,2003,1.05,0.12
1219,2002,1.96,0.23
1219,2001,1.24,0.14
1219,2000,1.05,0.12
1220,2016,8,0.93
1220,2015,4.74,0.67
1220,2014,1.87,0.3
1220,2013,1.79,0.32
1220,2012,6.68,0.81
1220,2011,7.22,0.81
1220,2010,5.8,0.63
1220,2009,-4.67,-0.24
1220,2008,-10.28,-0.85
1220,2007,-1.83,-0.2
1220,2006,2.02,0.51
1220,2005,-1.58,-0.19
1220,2004,-5.57,-0.55
1220,2003,-10.83,-1.16
1220,2002,-5.04,-0.58
1220,2001,-2.33,-0.28
1220,2000,2.35,0.29
1225,2016,13.61,1.76
1225,2015,18.45,2.55
1225,2014,2.17,0.22
1225,2013,2.79,0.32
1225,2012,1.75,0.21
1225,2011,1.44,0.24
1225,2010,8.05,1.04
1225,2009,6.63,0.94
1225,2008,-9.39,-0.87
1225,2007,9.17,1.13
1225,2006,-1.39,-0.16
1225,2005,1.73,0.2
1225,2004,-7.74,-0.84
1225,2003,1.6,0.17
1225,2002,1.12,0.12
1225,2001,-2.85,-0.29
1225,2000,-1.87,-0.19
1227,2016,18.89,2.98
1227,2015,21.5,3.47
1227,2014,18.22,2.9
1227,2013,17.9,2.83
1227,2012,23.51,3.92
1227,2011,30.37,5.34
1227,2010,32.78,5.79
1227,2009,23.93,4.03
1227,2008,14.78,2.21
1227,2007,8.38,1.2
1227,2006,5.41,0.78
1227,2005,12.73,1.73
1227,2004,9.91,1.27
1227,2003,4.54,0.56
1227,2002,6.23,0.77
1227,2001,4.62,0.56
1227,2000,10.34,1.35
1229,2016,10.11,2.37
1229,2015,6.71,1.59
1229,2014,7.93,2.01
1229,2013,6.5,1.57
1229,2012,7.58,1.86
1229,2011,6.94,1.81
1229,2010,9.44,2.43
1229,2009,7.83,1.6
1229,2008,0.54,0.26
1229,2007,8.46,2.09
1229,2006,8.47,1.78
